"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"030","IXMIQUILPAN",7.62356384155003,1.39444150089571,1.2078344645432,4.19323184488328,16.0266267973058,3.996346572085,5.45937737782662,10.1543582920307,6.88521263939614,10.5561039912381,6.27075699919808,NA,0.587384018375312,3.21324227928295,1.98193081011208,1.82452028280782,NA,0.0758887795858525,3.18516048517236,9.28973821126994,0.912564247585826,4.74416850735213,NA,7.20237086697486,0.105000753308568,0.480323338023188,NA,NA,163.037912785547,0.0156097628409252,NA,153.914811948152,0.0494582774552301,NA
"031","JACALA DE LEDEZMA",5.17031979451976,12.5124174128295,2.23634046310085,30.4036155320713,2.5779979837589,1.55957478792404,3.48139173593047,5.39825776326173,17.3679347426267,1.97339399201764,3.20592425195211,NA,NA,1.63479717482087,0.377325836115116,1.34473299235701,20.5510789176392,12.3718814911669,5.81347457657631,3.22683266350605,1.49710031242864,1.71198547875714,NA,1.74789860402037,NA,NA,NA,NA,128.320198212773,NA,NA,NA,NA,NA
"032","JALTOCÁN",0.597375257585084,1.57200424947003,2.0257404926893,1.16313624956342,1.89153107206663,2.00726450148334,NA,1.51786322726614,0.303479299800483,0.0496543371192955,1.19248631660196,NA,0.0520081505666028,95.565545203389,12.3045272218838,0.171294919889606,NA,0.42667176012878,0.801962234062036,33.7893755725198,1.35611583949046,NA,NA,12.4130408833446,173.287034497575,162.155858738757,6.02313260953607,NA,NA,22.2922051506554,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",1.44478390670751,48.9844341384558,NA,0.186862779431926,NA,4.28591746368417,NA,0.543052238586682,18.3495216282937,NA,2.57180584924989,NA,3.14461211785067,22.3843994948561,NA,1.15079415425536,NA,169.401527031413,4.73532328101698,15.5156670308135,NA,NA,NA,3.8292858570109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,2.99957857772807,NA,0.442045208124292,NA,0.184827805166434,0.129403385919894,0.019105472654667,NA,0.950630073439982,0.0544347085037232,NA,NA,NA,NA,0.0404868347518413,379.761946083904,0.0886351112347873,NA,0.0341166709103817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3049.0841162956
"035","METEPEC",3.54669991972837,4.67587137840816,NA,3.6998237346848,3.46613667754713,2.63030046463004,0.361169446071182,1.51677305573472,4.05404724717553,NA,3.27750343223343,77.2101058698887,2.7790165559739,0.244221829139206,2.02926911220898,19.6891537585206,63.5140878998111,2.53320953317785,4.76136122990981,3.42795024788943,8.05144819440086,NA,NA,10.167308844846,0.556424664678711,5.33888088666742,NA,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",0.472814976008136,12.285640529246,5.69854278350176,6.23812223537601,0.721992171916358,3.46354968628546,NA,10.1751106760619,NA,0.245629881674666,5.46451443552587,0.760055471035719,NA,13.6822959688219,NA,0.847361043263331,NA,0.206118965134723,0.387416372979796,4.4627373985407,26.8337142345408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,939.739364888954,NA
"037","METZTITLÁN",0.564045059589468,1.45289118361261,0.0634608214318494,0.493151552281268,0.939562668713429,2.46715524918426,0.159550385132477,0.79243927174112,0.198990869696052,1.81515949784702,0.565843185620528,0.45850364676102,0.0606251687271831,1.01462247609246,0.0996056535273817,0.354979690504649,NA,0.816475591744951,0.0912925862174794,0.3785832302644,1.58080513702229,NA,NA,0.295300141938747,NA,0.139710530072405,NA,5907.98449855053,33.8736868255346,NA,NA,NA,NA,NA
"038","MINERAL DEL CHICO",NA,15.9222388180304,0.108252902963668,1.65283781046059,NA,0.46761435158867,332.132806206141,6.22292965511366,NA,1.57976534754059,0.153266525183073,82.1721002234633,NA,0.32717692684353,NA,10.1789992420786,NA,0.331412852103681,0.622915824543249,0.12756460789835,NA,398.350618926063,NA,0.5037296538114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"039","MINERAL DEL MONTE",2.7909919357207,0.737110949283608,0.487633794316019,2.38278424322208,124.276028529167,5.81294750426027,44.6821069579897,23.0473216680351,4.63328957731815,0.549087840035648,5.24126966070507,NA,0.0359447994822887,1.81949930576407,0.236225667887583,0.644559047323849,7.08235111934745,1.93636089060788,0.216510322343103,9.90973010698272,0.937262936562525,0.0159398017042121,NA,2.14478048467557,31.9227107086467,0.331338755467424,NA,NA,NA,0.0385174648314115,NA,NA,NA,NA
"040","LA MISIÓN",19.12145145297,68.7356885787562,NA,8.37290975130079,11.9597490776884,7.67573813277938,31.1549741930244,2.04435834767674,NA,1.58939123206117,2.23782914366954,NA,1.66473471003511,5.26672789391049,NA,0.60922202831293,NA,1.33372891650275,2.50684559294211,6.2887525744881,NA,NA,NA,2.02719599171732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"041","MIXQUIAHUALA DE JUÁREZ",9.85084711520393,1.32169251509188,16.8205295532864,5.99157432228406,13.2107186194419,2.77968097386832,0.250784185049027,5.55412475851517,10.2131413228616,6.88619841980848,8.8618166191761,NA,0.437564104064583,1.00017359502654,5.0104942698881,5.84179251311686,9.29011963832327,4.00495480995085,5.31448171547791,6.82125481278538,4.38581637086979,5.36858735936722,0.0256399807832925,4.85966438205998,0.504637371048297,8.15300468315553,NA,NA,NA,0.00468881736232808,NA,NA,NA,NA
"042","MOLANGO DE ESCAMILLA",2.61129570272506,26.0423382612881,0.273186610217853,9.84835018204211,2.03442295525382,8.30953832216269,3.39177120894606,3.96352023154257,4.23020917259336,0.44296552940077,4.80277254336235,NA,0.115990965167561,1.46784433100866,NA,1.5281191790007,NA,0.951582948593821,0.698661325672173,8.2640839980265,3.0244718065888,NA,NA,5.0848408799581,NA,0.0126323653859646,NA,NA,326.318436289632,NA,NA,NA,NA,NA
"043","NICOLÁS FLORES",16.3889976402751,29.7992781410612,0.259302567984369,4.98362614473607,0.695170215873589,0.291112894057162,10.4308324170498,2.30054888251759,NA,NA,1.33197468491897,29.9753253368793,NA,NA,NA,0.362614063501374,195.23400738916,0.79384664300735,1.49209553296114,7.63901694697804,NA,NA,NA,1.20660406536175,1.78554922784324,0.107913206416552,NA,NA,NA,NA,NA,NA,NA,NA
"044","NOPALA DE VILLAGRÁN",1.78972437994634,6.88484393726833,NA,19.5921328852181,11.6726184192194,7.15282700202223,4.55630429381529,5.19062752622974,NA,3.71908513886768,4.02440074410686,NA,29.1028511271683,23.0182017741057,NA,0.158393879651306,NA,130.507005622826,0.651764021488931,1.63503595101236,NA,NA,NA,0.527058154530075,13.7582805750045,0.188550783330169,NA,NA,NA,NA,NA,NA,NA,NA
"045","OMITLÁN DE JUÁREZ",1.1036292619438,50.3189551564486,NA,2.39944516469636,43.8333662254262,2.76886970086592,0.702408538616085,2.66223626407206,0.876042297642167,NA,2.7034072491703,NA,0.600519900348262,4.27470125097478,3.94655740420674,0.879058866321664,NA,129.400999957068,0.904294634206508,7.82415601585115,NA,NA,NA,0.731270590799903,1.08214423954868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"046","SAN FELIPE ORIZATLÁN",3.78422727585246,4.06620769255183,0.918058394333473,7.18542858428233,6.02441296478512,4.72098961549205,1.02584077045121,5.12531703707335,0.299553486799742,4.64328870647558,4.83832867707721,1.8225974313827,4.60056198799306,38.5171375135469,NA,3.33983300955536,NA,0.322444750758626,0.309214077333859,18.806096871503,2.37968551757812,9.22773115312676,NA,106.799269233329,0.370027886837801,2.70596761391637,NA,NA,NA,NA,NA,NA,NA,NA
