"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Fertilizantes y agricultura","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Industria Química","Petroquimica","Turismo","Fabricación de equipo electrónico y eléctrico","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Minería Metálicos"
"038","MINERAL DEL CHICO",NA,6.87665710367767,0.191249686518513,2.62071100346693,1.90038447691562,0.209989167395204,350.081502777624,0.923766683642392,1.32663058891506,15.2720349023551,NA,10.1911601777028,0.923401840209434,128.556435340095,1.35146852519453,1.09788913053497,1.93553544125751,NA,0.382002068342258,1.1497707283591,1.71203959482649,NA,6.55183674355449,1.09874122318012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"039","MINERAL DEL MONTE",2.59603995585254,2.63358246019669,0.56109788278739,1.79001404251061,12.7272131658547,8.5864838365233,69.1290708614194,6.57837974512859,4.27332888104502,17.5170678105611,2.97192364590366,0.981258360711305,4.50959353580319,NA,4.40769614307787,1.15118761268446,0.096610841167689,29.0070799117892,0.890339543365438,0.159416578036284,8.54552088496589,1.26179572557588,1.61496373764567,7.46472363550327,NA,0.0901116105983906,NA,0.0796200117839276,NA,NA,NA,NA,NA,NA,NA
"040","LA MISIÓN",8.11384262705566,87.9365132717753,NA,NA,6.22793834016804,6.19358683610611,10.2108116207521,3.02736736503125,0.695621216300698,3.5677192861501,NA,14.843760529629,4.63212125121138,NA,4.42903146485926,NA,NA,NA,1.25189684316595,3.7680276220592,7.63677883986151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"041","MIXQUIAHUALA DE JUÁREZ",4.93198613789456,1.33178104491932,1.57690981596978,4.29928672176493,3.52906484412334,1.45660062459508,0.708780379346893,3.64237555419572,4.5184425577312,3.14244022906159,7.60642083668849,1.09442488226195,3.97882271403053,NA,1.50739650763142,4.6091917773924,2.69974955674634,4.00280280852373,1.75175420513883,1.72947556638658,3.11903356938656,3.15474716033768,1.55190512956531,0.127524491445521,NA,1.42268183358122,0.0125917623833737,0.919493789323699,0.0931491631114963,2122.05946541285,1.90958058933277,NA,0.103968356748503,NA,NA
"042","MOLANGO DE ESCAMILLA",2.62378358479972,24.0944721769583,1.24654612823363,37.372431258983,2.01393632279597,12.5433656587146,3.30188310883389,3.91585450328596,5.62359788222346,4.61479164851433,9.77523826973182,0.768007308092863,4.91826757867385,NA,2.06239899478031,2.28044087787581,3.36066581119364,NA,0.663269327710693,0.779821998626538,5.1207860192057,NA,6.04840524102025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"043","NICOLÁS FLORES",20.3878164542243,34.4457079671013,0.393720207755299,6.79131783039006,3.91226665353899,0.6145547177145,6.41422821285653,7.60692720018446,0.10924384360371,3.63032512059997,NA,NA,1.72825774426569,1.47391079122846,0.695557308093722,2.26019265409185,0.110684192470251,135.743485268769,0.786416628693973,2.36699980157451,14.0981059311726,NA,1.49867523724825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"044","NOPALA DE VILLAGRÁN",0.796802384077823,12.1341917764357,NA,1.01602248922488,7.49211504727201,2.18978008192659,2.25614405993336,3.30328967805211,0.426949865988346,1.40144065572364,NA,18.8917846225751,2.03778086705155,15.4931171364594,2.94021782646536,0.795001372201475,0.155728468076484,NA,366.503287450123,0.370031011264186,0.749953365620654,11.7153072558715,2.10857931590873,23.7766135119952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"045","OMITLÁN DE JUÁREZ",16.9296532509013,25.1257885457949,NA,4.43645485479103,43.9948086608257,3.96407627334157,0.852200409079586,7.18694059569874,0.522512642875502,8.39290822769127,8.44232776404916,1.23886907970373,4.26975199545976,NA,3.32684639549866,1.2011653096814,NA,NA,28.1020314036716,NA,7.49235059501698,NA,0.796461621181781,1.20209755693436,NA,2.84421750077432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"046","SAN FELIPE ORIZATLÁN",8.07479516832241,2.80720917522878,4.24747688221077,7.71484492746401,0.688662966752491,6.93935195235676,0.368677464105817,1.89770616789861,5.68895039464848,6.37783904229947,0.913076301665183,3.62307198540921,5.59860996822284,0.373604391027058,37.680083183306,2.07858421858073,1.94833612095984,NA,0.199339544431914,1.76321554866739,21.561638444401,1.07685189033277,90.9863906586396,0.130012340459041,NA,0.0769037778833177,NA,4.34879698943135,NA,NA,NA,NA,NA,NA,NA
"047","PACULA",9.04626012630089,46.6560471169401,211.5653545677,1.45826585053867,1.73590839954974,0.4539996401304,NA,0.375029220510785,0.193889959457885,0.821841004939471,NA,NA,0.729892897344066,NA,11.1105043942369,1.00286809675652,NA,NA,181.393089879158,4.20103760930397,1.56386454905409,NA,2.65990349117241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
