"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"023","FRANCISCO I. MADERO",10.4028333548568,2.34962816239784,0.282061626306032,1.91144938263701,3.22927448366405,6.33524893432792,0.0102056573320907,12.1771601017734,7.85212916601017,5.22184920009075,27.3551542304556,0.218401991145757,7.63861548508377,NA,1.13272838008997,2.04299882661712,0.199324992880273,1.79780483452467,0.218562979415611,33.3410804078424,16.0099251284979,2.99370821795525,11.8101410522718,0.0648192450115281,NA,7.90601295844323,0.0161160695453151,NA,NA,NA,0.109653130678945,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.190125989630237,1.27969451418928,0.202692211305181,3.41905912252702,0.0713015873139031,0.0780988785365057,1665.96706945387,1.37073203275638,0.583145046694247,0.784000626873189,NA,1.15357087439989,0.982899541571572,214.02181489476,NA,NA,0.592204867868728,0.148371421953613,0.0109523009163429,NA,7.04821866753128,2.39137799279467,0.294432130166401,NA,NA,NA,0.191526706164324,NA,NA,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",21.9776480006684,8.02747283205372,10.4134411811312,7.66447201465427,0.0995304893411745,4.25024490978994,0.169304355295173,2.42166769272662,4.12096160593337,11.1777211255795,5.90124054648957,8.89276770611105,3.93701744546003,NA,0.187911314161662,12.3804907387042,NA,2.53713331846143,0.0611536382670599,3.04990699629969,1.19031145319392,19.688241688512,30.3975824128167,NA,NA,12.4170362204883,1.06941500208209,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",6.15846959980918,73.5649801785068,NA,3.62961479089972,2.30956671807366,11.6539658958936,NA,0.693751447529639,NA,9.71643067705875,NA,NA,3.26597477345115,8.47534314290458,NA,2.37425227356871,NA,1.2014939322063,NA,NA,27.620719385947,4.3911771892399,2.38427598242002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",24.1243972789084,13.6515043962554,1.82889810291994,1.21282671044734,16.7337007852954,8.75316725680937,0.273592159030863,10.8704510182474,1.00712912270983,6.43293044358509,1.41069178760404,1.46372424504003,6.85240223286736,9.44361810920152,NA,0.661375338686355,NA,2.09181240234249,0.222351638668963,NA,1.92351744189167,1.22321302293629,22.600146082051,NA,NA,5.0164151749153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",5.16031489588394,1.85645740205015,0.746047789964922,8.24251983234252,0.726486293990251,4.87209859254464,3.37602896762951,2.8788711856822,4.50873587464647,7.29469656750201,2.10765366142762,13.0994519502555,5.28100605059891,0.0483822745111205,0.701241759149659,3.16002247000407,0.684403615664571,1.0782986877659,0.248487159801169,NA,2.2173104905859,16.3985914857041,2.29117010631346,10.5019686949751,NA,6.70645821006833,175.446669448268,0.0550980817520585,NA,23.8624163091906,NA,NA,1.20616994948622,0.0353301549840739,NA
"029","HUICHAPAN",2.70287265823014,1.99897652388356,7.5282348037642,10.7961741082799,1.09158343219039,1.91320165824903,5.02736834068268,1.97547929949882,3.18963121053865,2.03176908915272,2.6617547314631,4.37506889449358,3.15564838935243,NA,192.457519772844,3.82172990727111,0.91786842139614,1.91498498601443,9.06932108594294,31.2565383717688,9.93008194846602,0.617482302771405,1.189198803454,5.74120838461477,NA,0.742985114855127,1.0238313414452,NA,NA,7.62415457638628,NA,NA,5.57914003386985,NA,NA
"030","IXMIQUILPAN",6.44129586480137,1.71839427563999,1.00323040803072,3.87978114034265,8.71363698715974,3.48906519478162,9.1633962709595,5.65273465139531,10.6890549884032,9.00332525713132,6.02655184157326,13.3494235329383,5.30901517564678,NA,0.645784529119724,2.43205105547886,1.45860925024187,1.51035111861174,0.39450095727497,NA,0.0644211202603179,2.34189779921153,8.04882165168057,4.20665573442244,NA,6.71390715300655,0.0911451425207451,NA,NA,143.604466174229,0.0151403349507301,NA,136.451855180234,0.0384163535369711,NA
"031","JACALA DE LEDEZMA",4.86733543424165,9.9419390318464,2.05019949816981,29.5752441632269,2.38414618793823,1.5170881313583,3.28495852999074,5.91945835051152,4.87472682049273,5.33289139478856,16.9378539110655,1.35606500834054,3.02495522873695,NA,NA,1.37864280360518,0.309403827678791,1.24029202355747,NA,19.5022278087736,11.7015965402438,4.76245693326356,3.11504222340719,1.69135825159542,NA,1.81541011445802,NA,NA,NA,125.931108570952,NA,NA,NA,NA,NA
"032","JALTOCÁN",0.614826375629267,1.89507101151081,2.03036163655505,1.23698685900327,1.91247239978473,2.13471842014507,NA,0.709224201739133,0.231006224542224,1.63935552739108,0.32357180077397,0.0373039899025975,1.24973894399523,NA,0.0696509387088057,88.1090685101944,11.0307605915382,0.172728404792427,162.232204704866,NA,0.441199139289047,0.718258194129553,35.6614541196601,NA,NA,14.0950976652329,183.230276167272,4.1688267471298,NA,NA,26.3379678079426,NA,NA,NA,NA
