"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"029","HUICHAPAN",2.40763388911846,0.972210479094058,2.18692174581841,10.3865570313759,1.20000670198678,2.31367512724825,3.07705328875494,1.48576381288685,3.91202642240263,1.97926797646509,2.10458809891689,7.43920460194893,2.89028877163965,0.00753172295958171,1.03804424098035,23.3691508811963,7.44524420346068,56.274910845497,10.111178910846,1.48757130619751,3.06199087677219,0.189803809654972,0.420234920026214,0.498303110349319,0.356481792486804,252.205748085396,NA,4.79423015891007,0.00381837277660077,NA,3.54445655523723,NA,NA,NA,NA
"030","IXMIQUILPAN",5.62440665726787,2.56726518554056,1.08999978113498,4.90740804487108,24.1962073378279,3.87692195418807,8.14195897434222,4.79880868474093,10.8533714071056,9.11915862119113,3.43997023585294,6.22146816473599,6.02509753884685,0.0153456943152963,1.99912134592921,1.35075957887212,0.593019285517685,0.00349521747096126,0.583315369659891,3.89300824238381,6.256011383082,8.10776783320339,5.32908826227098,0.172756226686997,2.09907231936746,0.556479359367091,NA,42.8687430986814,0.0030389990592755,NA,17.6312017697333,0.0223915287047736,0.302727151402447,NA,NA
"031","JACALA DE LEDEZMA",0.568644696407021,4.40799023469937,2.61398857311304,19.273982487114,1.11487361869695,1.6530780591523,2.02552757202792,2.57742094470084,3.09540221822806,2.61999913306097,18.196376991513,4.61148385491178,2.25453238513893,NA,0.446296171311291,1.15267119622151,0.0114146454012994,5.18748687860917,7.44270859603066,4.62108140582882,4.52797023025641,0.0244904993975799,0.796779267670799,NA,0.155727644609663,NA,NA,983.176400362189,NA,NA,NA,NA,NA,NA,NA
"032","JALTOCÁN",4.35566050454736,3.79028894521861,5.31357330958247,0.993592715701827,0.137701142293333,1.59078402207232,NA,0.974929821242507,0.275243566416328,2.19831292441015,0.862454163507719,NA,1.71708713503412,NA,52.768613590269,0.436006980386379,157.513274683388,NA,0.43938875263191,0.109247532843696,23.1432883751595,NA,8.14953283473019,191.295184644401,0.942483376859112,NA,NA,NA,45.9962278666863,NA,NA,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",NA,75.7629503505969,NA,0.180404531787891,NA,1.40293159917945,2.7411971224966,4.3612633705338,1.03461557937139,0.674551732130591,NA,NA,1.17743903165381,7.48501233413641,25.991595994148,NA,NA,NA,173.523581882866,6.57042493437303,10.8183732704174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,3.19670651638141,NA,0.566835696454071,NA,0.709733815066784,2.25954446704262,0.0905757294382421,NA,0.0492512584940208,NA,4.15873697624903,0.110535047186273,NA,NA,0.0490136785316308,NA,54.8516739611029,0.120590429932906,0.307026245911795,0.0928518232167429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4614.41514647207
"035","METEPEC",3.64553705814172,0.945384790849239,0.0346241282305844,0.718743343739348,4.83943933444254,1.09537598647024,NA,1.39836473827781,1.9709536564274,1.00559159985526,0.146173466383236,0.081894364091716,2.57560029117539,257.08774213335,0.0732459558447944,15.6656606705169,0.421507622131245,216.903718980303,7.82400626386133,NA,2.87696388639174,NA,2.09227370735049,2.00957850377582,0.638949027244581,1.64310609605604,NA,69.2840671973432,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",1.30121923580905,11.9752056738057,6.53767725492619,5.3683892389075,0.208256723802133,3.26005785079583,0.275727401317184,3.11953195630743,2.60170878191467,9.36764998887634,1.30436012025968,0.182693455314253,2.65020950677604,0.752891130222271,13.2354174755376,4.05562968314928,0.0261199238469266,NA,0.259579540604922,2.64358396969907,9.79363990814806,NA,1.16688345192758,NA,NA,NA,NA,NA,NA,NA,NA,NA,998.67623884077,NA,NA
"037","METZTITLÁN",6.62091040873728,13.0965500089026,0.221073957396904,16.7031702762153,2.38423350410351,6.6371666790609,2.37101263736831,5.59582237642319,3.30952699603533,5.38662013272003,5.37588249546251,5.80992121951223,6.35668742984527,16.0993054147882,3.49403768029874,1.20788244262579,0.0332260834520355,NA,5.55067012463715,0.210174669019996,5.22505184755465,0.07128766143479,1.4843445631679,0.158408578075681,1.81318631764087,0.129520742690407,NA,0.580729580452088,NA,NA,NA,NA,NA,NA,NA
"038","MINERAL DEL CHICO",NA,6.35182191755732,0.14214703936542,2.24545731850804,1.53302423204779,0.182679351955417,302.099201055869,0.807313046076421,1.19698494440815,13.2470558713392,NA,3.02590643927362,0.834329194909425,248.789343357259,1.20282546315559,0.776649204376764,1.73047131055243,NA,0.477705735769265,1.21625073221293,1.47128917450416,NA,4.83170038165297,0.916687771993238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
