"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Tortillerías y panificadoras"," Educacion y otros sdervicios educacion"," Hospedaje","Construccion","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Servicios de publicidad","Turismo","Agencias de publicidad","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"022","EPAZOYUCAN",2.68068498434348,6.94780436338844,0.934168592062446,1.34194053092519,1.6180650680405,4.53639057916065,4.17934740962312,5.38046589586851,2.70360476485828,0.461874858857706,5.71149799790218,NA,0.707826741455194,0.687206639267393,12.6360273339711,0.0149774541599802,267.722947982881,1.41468626570657,2.8890407399177,2.71141629568654,2.72275766258048,0.114745777502017,NA,NA,37.4573915147218,NA,NA,NA,NA,0.228914408829581,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",8.06029451560665,0.924029650301848,0.537012005872448,2.26181587294275,9.46423808997294,7.4056714093838,6.63936982382263,4.99897363257368,8.30125180741235,0.188503027752329,5.4998573854209,NA,4.93539406212867,0.824228763025327,1.63992432870424,0.207661627064431,227.156973407325,13.2235383342079,10.3379854600047,4.35792931747937,0.00514242926594427,0.0152916596371932,1.78787357604209,3.96918714060467,NA,NA,NA,NA,NA,0.068639412531514,NA,0.409310329199778,3.22791380554437,NA,NA,NA
"024","HUASCA DE OCAMPO",0.428389778852464,5.17012937912891,0.022083702315525,2.49138372608645,0.581797457220505,1.00338107860716,1.45047635278988,2.13384643669846,0.432052499300196,37.035113355891,1.39802452953902,5.42301000355812,14.8728658386834,NA,NA,NA,NA,7.4746204581826,0.498362675051433,0.108325207369581,1096.08678019829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872580666813344,61.9323159454118,NA,NA,NA
"025","HUAUTLA",10.9763896305709,7.88050615054622,3.94366623981843,3.82009109512677,4.6748565340743,4.19613113285053,3.67096588958277,8.7099019683599,8.966892334748,5.33773021741434,4.15477656567636,0.542776273319038,16.694106613434,0.450216142418477,8.0619409856032,0.480803693158258,5.33586618907645,2.44737536248171,11.1632112848831,8.4790340210919,0.101121644551584,NA,0.208029966155621,9.28071373791675,2.60938463606489,NA,4.31524454682557,NA,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",4.1816038683486,143.572137161745,NA,12.284870244532,NA,0.3917686561963,0.0722367785561543,1.4174696843135,1.0543391156781,NA,0.955328704677318,20.6777951635147,7.85166095309814,NA,1.36502457634273,NA,NA,8.82708351891938,9.19718014841433,3.04023293687978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.51744572796988,NA,NA,NA,NA
"027","HUEHUETLA",6.37426809435645,12.8987231983574,3.05677018136153,2.5523990076036,2.94575505714991,4.11505589857301,1.54848977568522,6.93610475587283,2.51123746312719,1.09826935786829,5.64720417230331,4.43255569176926,13.5116022415328,NA,0.812807948417175,1.28210927982687,NA,0.840978106312832,32.7020759601457,3.97631511242899,3.30321971059874,NA,NA,10.1896105172743,1.05231659544951,NA,NA,NA,NA,NA,NA,54.5637906163422,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",5.71955686076055,2.63122983636028,1.83703297324007,7.52174710108747,1.37397143889972,2.88983447131687,3.88372084455489,4.39644967735725,2.51393058648111,8.39077733108088,4.98666911508968,0.0107890647602847,5.91572942786802,0.912907458136299,1.20310542595587,0.596464942043561,NA,0.526076693981495,2.23893644941566,4.25980622392267,2.99489553517866,1.33590553905325,0.430218604295615,7.96296966579732,235.624713285764,NA,NA,NA,0.0138518427749384,0.000745263410171141,NA,1.63829235051697,53.3073857685983,65.4253536694102,NA,NA
"029","HUICHAPAN",1.62998106337177,1.61214703288808,2.90845435879919,7.43588708629914,2.41482668184914,1.38970943483013,2.26391486325607,2.07116168835819,2.43345432939163,8.13886123889181,2.60664801287009,0.013993340936618,3.6752782245148,0.417853576668402,19.3684461736825,11.1136018050373,48.9661370252077,9.0858097017104,1.84131789421019,2.22663045587344,4.04703656512931,0.164038822881989,294.673901867908,0.416897988987839,0.747474105551371,NA,NA,NA,4.71492944348187,0.015465622228166,NA,1.86754713528935,1.63643322015757,NA,NA,NA
"030","IXMIQUILPAN",4.61871140939278,2.24918680106948,1.32708151006787,5.82513427238966,33.5178952187975,5.60805968059925,8.0622506475623,7.45093556825958,3.12885390831566,5.82001984890613,5.7147712029089,0.0276316277211395,1.12937972999812,1.55996399186195,1.52085110140521,0.328008484190803,0.00294746107293048,0.538681116499826,4.54889073737989,3.66419935257184,10.7454479983163,6.7910334682739,0.422001791713141,3.11753020378375,0.174408087338613,0.00197895300626057,0.0858126001224243,NA,40.8592053920157,0.0119292320288962,0.131286219652414,4.7250548032168,31.5561043956918,2.50133693970504,NA,NA
"031","JACALA DE LEDEZMA",0.473675053293159,2.87522612036573,1.44775391171979,6.33553700943229,2.57319810283949,3.63466567101783,3.27307521320287,3.20345398745375,16.629605911617,6.03609347275015,2.59282433239589,NA,2.80217901506613,1.09286014224571,0.966402649112246,0.0952741824567015,4.32384505820242,6.40656063184577,5.82041086407546,1.69413293065912,2.30845170858823,0.0202754939841409,NA,0.901124698130784,NA,0.10736206072425,NA,NA,926.232142070007,NA,NA,6.03013473737864,NA,5.0185801802063,NA,NA
"032","JALTOCÁN",6.36336211795071,3.04698906034344,4.57207091771102,1.20491805239433,0.10669260964687,1.05986587574304,0.195424762431511,1.30487403624928,0.71308540926791,NA,1.52418782815592,0.218517129114241,47.79310852481,0.18125320460415,1.16844088975441,179.223747091601,NA,0.373128553359368,25.2219125345028,4.16413540632138,0.0407107173709022,NA,NA,9.56502200977471,196.213071489909,NA,NA,NA,NA,34.7771477432225,NA,NA,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",NA,34.722043802664,NA,1.1367232970672,NA,2.68108619589915,1.97742240743309,0.0673646995138288,NA,NA,1.7193515880649,35.3773523594184,13.4332976000535,NA,NA,NA,NA,396.667001771228,8.32281795221901,6.0324999196894,NA,NA,NA,6.04903154748234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,4.7528946186278,NA,1.60170146644234,NA,0.0127697000180986,0.00941823168184961,0.0628866364534175,NA,4.60286788571748,0.109697513441498,NA,NA,NA,0.0444929783981874,NA,49.5022007921628,0.112390157180168,0.0891913693840566,0.292467935305246,2.21501711818967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4753.89593030391
"035","METEPEC",3.87870565094977,4.65064596010777,0.0222165745085308,1.61071448544517,1.62582774750671,3.27051488769624,0.364800877862363,0.634063464288806,0.108663013170937,0.29701805248304,1.55119697948472,405.84838887913,1.94413473094958,0.441922251740267,15.8071518662562,0.815215027690415,201.332143004851,5.97374126513813,1.53541867627534,0.657621443216094,NA,NA,1.83777870604964,0.819876982132795,0.284590500077923,NA,NA,NA,57.8955348475696,NA,NA,NA,NA,NA,NA,NA
