"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Minería No Metálicos","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Fertilizantes y agricultura","Industria del papel","Maquiladoras y textileras","Organismos operadores de agua","Fabricación de equipo electrónico y eléctrico","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"021","EMILIANO ZAPATA",2.50417875093107,3.47935887592344,0.050314264578384,1.52448781682363,7.02350827996219,2.42179033975797,0.329502984141058,5.42884256167634,2.64162969286538,13.7504946426606,9.69258328562843,0.208431895727382,4.2647492825623,NA,1.07587288618008,1.06099231717313,3.04804853089588,0.541352700176194,7.84664085303073,1.75893665878947,0.0199694337819174,NA,0.121619711665614,0.0497398743592421,23.9512823926804,446.305592101193,2.76208720135748,7.78006838985907,NA,NA,NA,4.79920022611086,NA,NA,NA,NA
"022","EPAZOYUCAN",4.80842133025003,5.92602293352898,NA,1.95639280967466,3.21656969589491,3.4783256550743,18.9078316915437,3.40383373924239,1.82604563693637,2.52081447833108,0.330867571377196,NA,7.87358616383413,NA,0.229538554422837,2.51515300187087,28.7768827097757,NA,3.73789118192004,13.5097521221875,NA,NA,0.934116728742886,NA,204.731954728988,NA,NA,0.0308656368340592,2.17393935887302,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",11.1140987114927,3.86445725303677,0.197807236409292,1.72507725100729,3.13981628960712,5.72133657815228,0.00899596809005895,11.4965063388948,7.53290140725825,4.96376244504502,22.0098849417329,0.320092323864242,7.81753537655174,NA,2.17243314036899,1.55777111063889,14.4424215324452,1.97898644334775,12.1427323928436,7.62394658168345,0.0785085212346814,NA,2.98837457665602,7.63863511234843,0.0177671209508998,NA,0.678685309971625,0.234180412628416,14.4213624787699,NA,NA,0.142667231894148,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.201800692328688,1.37895895745468,0.0364914368829956,2.90327789734772,0.0688742736041366,0.0712976579658297,1266.54885319888,1.28567436623452,0.544965775221519,0.740391849168136,NA,0.151169443319391,0.948415717907881,436.031176412817,NA,0.152001207550539,NA,1.57050793093821,0.300749626323249,NA,NA,NA,NA,NA,0.209771180320068,NA,2.00325954514634,0.0116583714467459,NA,NA,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",6.29406307718673,1.84227216615807,3.60700419976518,1.66574853134184,0.025940759419961,1.04691913033204,0.040003899149211,0.612860575104282,1.03910615996053,2.57921678795677,1.27276783573277,2.33211314154069,1.10612386852287,NA,3.95120273064123,0.701307981063003,964.973127562117,3.48873153656079,8.05618227508936,7.68768664142325,NA,NA,0.132889127648996,3.47832484583753,0.316032296947364,NA,NA,0.0175640042705533,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",7.6175980546159,66.9510980542159,NA,3.92262363789694,2.59987479014892,11.0295841061783,NA,0.758309352634196,NA,10.693406160065,NA,NA,3.96318754314654,20.1224509629183,3.27275646825618,1.43444020133776,NA,3.36075578176383,2.83818373213871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",25.8559218532943,10.765281698257,37.3574766900074,1.13572493651121,13.2784546310424,8.35058804332163,0.241930998084919,10.2955221432043,0.950386333579073,5.48920064534446,1.13865377185631,0.344333170667304,7.26344085985187,4.85691290311888,0.197484555295121,2.16392350000894,NA,0.811178427059407,23.3106042970574,NA,NA,NA,NA,5.2589536239847,NA,NA,NA,0.238998538675191,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",4.84936815199927,1.54965873068601,0.758695663270936,7.17765537696966,3.82709686797699,4.14993277848154,2.16328660703772,2.39071850674177,3.75835836357884,6.03130725102172,1.36028518543973,15.7548070614311,5.04833882553554,0.0290475421758846,2.67606166795933,0.978055823857348,NA,9.6790460249921,2.03132510137557,12.8573588988259,20.9855273949865,NA,0.43074663157712,5.87453668810309,170.133328166461,NA,2.04977093413608,0.361863965414787,5.15469792966184,0.0566663745159466,23.5556491870608,NA,NA,0.975673883017247,0.0285480479011933,NA
"029","HUICHAPAN",4.10543446212327,3.1045566341821,7.23888526466553,12.3949540701858,1.50892322453951,2.81553277213572,4.92313081491437,2.65157112224485,4.34713410593887,2.74581922973783,3.04479157736058,8.76990354694711,3.66698362964117,NA,3.62685510485879,0.990773267326909,19.8573280715342,0.580321679405077,1.73830801746113,0.230980212612397,9.88614713336566,NA,29.2560765664375,0.940571364196522,1.60471265053976,NA,3.26440828469824,11.9688543439863,33.899142103263,NA,12.1645749675922,NA,NA,7.29437396176476,NA,NA
"030","IXMIQUILPAN",6.55266708531664,1.60030992848048,0.929996338407541,3.3718656103784,8.04201496720864,3.33375137696133,9.56306698837697,5.08160278227942,10.3709396138873,8.2134003275356,6.46522949722371,9.07898466254599,5.22242581907286,NA,2.75714190933422,1.48299058044105,NA,2.09051478845378,7.75039005069784,0.983342071306421,5.2346815275682,NA,1.62225505279226,6.19264036486873,0.0956783554852307,NA,4.72898463507892,0.402479971619607,0.495306049865773,NA,153.45622508068,0.0187568942619434,NA,119.484487328069,0.0336033764966942,NA
"031","JACALA DE LEDEZMA",5.97592715793276,9.81301785611683,2.7663910635425,31.7258459233958,2.66393466188846,1.81366631565017,3.32757785466141,6.42233930244135,5.26957723902705,5.82560202344882,15.6613212252603,3.28891824301079,3.72408262707718,NA,1.88628517945068,1.4697842323903,8.20544833519316,3.61789385581864,3.6805836045062,3.08387374910732,NA,NA,14.3376529556622,1.39531112326403,NA,NA,1.21066443331646,NA,33.367551522306,NA,NA,NA,NA,NA,NA,NA
"032","JALTOCÁN",0.6258287212134,1.60300371255073,0.452672169083101,1.10011716243261,1.77163742328174,1.86892941737419,NA,0.637945834760064,0.207032323372386,1.40954252759706,0.248044534706611,0.0750095974854429,1.23385818427775,NA,99.9459467308353,0.169700209096162,NA,0.452370557250669,34.9333937651042,2.53199502538239,NA,NA,0.175071969412307,14.0337392520857,183.610377636305,NA,35.7843013658625,165.611856960004,NA,4.64404953714247,NA,32.6486970299595,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",2.13347380124369,59.6824583162235,NA,0.249119264232298,NA,5.62481519675718,NA,0.849524023443474,3.24083124893427,0.748730168124725,21.139830212338,6.39276393254803,3.33486350415736,NA,32.9978353782002,1.60698454660543,NA,3.76501063005111,22.6103467787255,NA,NA,NA,14.9206742760664,6.10223831057275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,15.2576436301549,NA,3.55209669081741,NA,1.46206050324759,0.952469515566532,0.72058533242884,0.0763596044639325,0.15877243085803,NA,NA,0.42545082355418,NA,NA,0.340770084708715,1381.47462942272,NA,0.299665676754465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"035","METEPEC",2.59415993592977,1.90357423789288,NA,2.44316853356863,2.26658021136668,1.83416175592387,0.218459405720355,4.13185516492818,2.52200431583641,1.03583889186369,2.3134144183778,0.31092675361667,2.45570205355398,294.894892719429,0.178325055202631,35.127953345493,18.9869774785361,1.87514816120712,2.47433880580069,10.4955235037555,NA,NA,6.53131130296875,1.18718549142196,0.431459365511134,NA,4.12032334939519,3.80691392188311,NA,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",0.51857737919027,13.319787843048,7.93702111735392,6.17698169713235,NA,3.37616608542169,NA,5.16228440887907,1.77241407539374,10.8839126329001,NA,0.388467714484039,2.11522320472839,1.36986065796839,14.9808656746558,0.878861566852738,NA,0.228787593268927,4.83032141798654,52.4518650182672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814.729859060844,NA
"037","METZTITLÁN",3.63258431271578,5.75186588857423,0.291945306452765,2.86736115515164,5.40979443011084,14.1214215806142,0.849742230609133,3.01790621449033,3.02773087642921,4.76504711227669,0.99983280733735,6.96621750693562,3.32262094980819,31.8625995103661,6.52321911771242,2.16189722716191,NA,0.31656986288918,2.40611083920924,18.1442090891668,NA,NA,1.25456108200267,2.0523551565844,NA,NA,1.78075939565215,0.182811912776145,NA,NA,238.89123357854,NA,NA,NA,NA,NA
"038","MINERAL DEL CHICO",NA,14.7254199824926,0.180482243747466,1.95908771256529,NA,0.545621430504461,360.597547732317,0.397424392828468,0.0421146088811032,6.57731107169961,NA,0.747665826473735,0.211954875243606,94.9142661308383,0.428806939988906,NA,NA,0.440336889348825,0.165274595909758,NA,422.504698874254,NA,NA,0.713687396868347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
