"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"023","FRANCISCO I. MADERO",10.1798882309537,2.24653024093008,0.149484177553641,1.72571355450304,3.02963429232986,5.84804528516836,0.0100448392967529,11.2398916653041,7.27356495705669,4.89106610327708,25.3268537735696,0.307644403935226,7.62116708236775,NA,2.15389251184856,0.257258377748362,1.89411743756465,30.1796404412267,15.2207888345153,3.67777536275787,11.5884893350102,3.16341171414194,0.0748035785612308,NA,1.35795704556515,7.69431506275427,0.0170912086131723,0.227978461992907,NA,NA,NA,0.124067720817093,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.202049781779166,1.2981220771824,0.271302314424603,3.17479541083338,0.0726457103846034,0.0782919968532274,1545.90928856207,1.37402362831567,2.11772327322835,0.7974824719161,NA,0.635279350760961,1.00879746602188,238.18049162127,NA,0.830051946253097,0.169761868640823,NA,7.27700643799896,3.19043196402306,0.313749087740001,NA,NA,NA,NA,NA,0.22058120862533,0.0124064667127114,NA,NA,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",20.71589053423,7.60080727619201,9.79497778629499,5.98788371468948,0.0899440444103716,3.77913167597706,0.160509657120644,2.15308751734503,3.67696487207197,10.0847120578886,5.26279458121769,8.05428759487288,3.82711795341901,NA,14.077018354754,NA,2.57477137878345,2.65920619889872,1.09003262877398,23.2977342750135,28.7304091831238,11.4623932210168,NA,NA,0.216992241815838,11.64022613927,1.09242326461688,0.061442735549072,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",6.13906498726766,69.9991684454707,NA,3.45264733895274,2.20726166180542,10.9586951509748,NA,0.652316061819809,NA,9.2709454061191,NA,NA,3.39311287995798,8.84744692731724,2.85500395702354,NA,1.28950788113826,NA,26.7498225967294,5.49534233248925,2.38323202130082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",24.3879957944712,13.1732363137349,2.32867397153939,1.16998595574367,16.2183070163375,8.34719464949796,0.278185141005987,10.3655402933977,0.963769797950193,6.22467001811236,1.34928124822599,0.340800283051173,7.21968984051883,9.99745142498596,0.806525419507105,NA,2.27675009485149,NA,1.88917530556245,1.5524088045982,22.9092704180594,NA,NA,NA,NA,5.04352511864835,NA,0.239599453441272,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",5.1442225108438,1.75823190916479,0.733757704555597,7.87693965912927,0.694328265252075,4.39400608477456,2.79753145207586,2.70701408372224,4.25467953591621,6.94103079328035,1.81283913713651,15.918606038862,5.10561759017873,0.0505081043715943,3.61097973961481,0.899854385815568,1.15732572860992,NA,2.14746722709755,23.4601270966961,2.31292808179524,0.534485141161838,12.3464271715921,NA,1.06650639386251,6.64902306548871,189.544393785485,0.407994604800635,0.0567352737314586,NA,22.7376294436951,NA,NA,1.12421067272246,0.0322061251451575,NA
"029","HUICHAPAN",3.11066194554603,2.23035303076682,10.4919149664055,10.2572281759627,1.20442024052318,2.33970256676153,5.81940495697291,2.14449212345649,3.47485127902069,2.23815117960378,2.89831759232815,6.21528226953962,3.10355035376751,NA,3.17354655947064,1.39323398920641,0.837385329087456,34.3257304968313,10.7441902620926,0.892146359640264,1.37234109126695,0.0792821799844594,7.79215494753464,NA,123.109201430022,0.850410120189172,1.2769618578129,10.052717870594,NA,NA,8.38699045986479,NA,NA,6.00330145240986,NA,NA
"030","IXMIQUILPAN",6.63663013475301,1.72464140378753,1.03464378660166,3.36543796303846,8.58048028111869,3.29363027943895,9.12292915645323,5.49360851266664,10.4777064841901,8.87902226597032,5.8748119641804,10.3331716020787,5.40305756876635,NA,3.02271692475798,1.98211903164327,1.67542610710567,NA,0.0644850634194987,3.02919106204402,8.26982293638793,0.451171071147567,5.11138244073963,NA,0.81513752443443,6.87972016375867,0.101772435883442,0.433259682560046,NA,NA,141.426091330922,0.0180366654656676,NA,131.44663413932,0.0361942764001009,NA
"031","JACALA DE LEDEZMA",4.52416468572487,9.07331483346086,2.05028668007042,26.2323817149089,2.12458391257428,1.3301898008183,3.07105548154035,5.18983844488479,4.28909760974804,4.74457926146339,14.8955388433736,2.61270988447852,2.99517308536504,NA,1.54578578747321,0.379305562717037,1.24120658044828,16.7677340836514,10.5669278045365,5.55728348572531,2.90329682376052,1.05763743502183,1.85400018622257,NA,5.38509555566077,1.67819705596561,NA,NA,NA,NA,111.883844254316,NA,NA,NA,NA,NA
"032","JALTOCÁN",0.592522578046587,1.70818164961128,2.10521837134397,1.13757425697611,1.76702001404422,1.94065656332001,NA,0.644704500348419,0.210738854116463,1.51221451125884,0.29503516787592,0.0745197258572758,1.24103538786992,NA,102.429121192371,14.0208477589427,0.179221111268321,NA,0.413088934687621,0.868995173370947,34.4613140884983,1.08597386895797,NA,NA,0.0822334044330425,13.5095716365915,191.369148234057,166.65384296381,4.14991684355897,NA,NA,29.3481733977863,NA,NA,NA,NA
